IMSI,score
8bc2234a49564361c459531d8a2e1ede,0.425213774045
803926a5c242d9916d072e140c3a20e4,0.4095398585
901734f678ccc23fa84540d8c53c359d,0.386690209309
23a4902ffb60a8538f329c42777a3c93,0.406352609396
062cd55303eb741409bde9c173e56474,0.384379704793
dc60bf6f6bd21954229279a0e905a047,0.584232568741
102d65cfbee7e8dee1761444eeb493d7,0.549773375193
a7a4b594c0c6c10b412070e10eae9e1a,0.551750759284
4e5c86d2645b8bdba5b0ede966410c3d,0.381445894639
581e65ba90fb88b258f51764d47aaaf4,0.381375322739
03bc366f181dea042c44b3a729b89d64,0.569238742193
45323f63cac59f63a1b859b74c701348,0.377831975619
8b6eb456e39056dda5c445777ae6cab7,0.311230023702
974aa755946eda4a52775fe22bcf43c7,0.29558412234
c7f54c98154bd83309ccc81655e06b45,0.433802743753
719adcd2c8bbcda5f199611e0e159764,0.447663515806
40a5505d70cd16584b182dea61f1bc59,0.438000629346
ca088268c796e9edbf815161d66c33ec,0.367809037367
b1d814b9e00210f50b36cde85a5f5553,0.370186626911
ae2824a5da633ba103709beae65fbfb8,0.448447823525
52c4ca11eab7d62864b71354fa2ecea9,0.474492192268
ba9f6bd3d6f6ccf936631b9676ebdcc0,0.422022392352
2e6249a8929c64e6af942f4dff21a7be,0.43933347861
48af42fc5bff220e2bad1cdf8459c6ea,0.418912917376
5b010acccc26056c5c8bcf316840ce0b,0.447728862365
e2574b7ff038dde018990b1d53927cc4,0.439989040295
4a2636695d0a8ef2aa9ec01b4312b01c,0.424493759871
1f88479dc153855000c67431bdbd69e8,0.504331847032
a3659beccf8efa136290761e6d8a5aac,0.440214494864
e66dba498e5e8c110342332502147c5a,0.385201056798
dcfe405a80559ff6b5780118812c4bbf,0.422780374686
9edd5ed84b6df6070432d8302af5496c,0.385348220666
8c45d779562836a1a2a1817f319b7df6,0.366188118855
d4e35c74fb87fd3fcde55eea75d6d18a,0.45871330301
3a40a28dee6ca3ffaddcaf83e8e0dd43,0.374306271473
a43e3ae22d2d13a3bdcaa8ced128d54c,0.504564861457
83c69ac3bdfe24c322651548f60d5fbf,0.444843649864
7778150e04bb36c724a00f7d2c0541ec,0.445719460646
bdbe1a397b0c581d298a88d4c0b31c32,0.445217480262
4875b1f0ea0a6746c121122b6f74be20,0.485796878735
4e67eb1aa9bf63ec4fd15c193e3c2996,0.442629357179
2d5ce2311bc7ed8ac352d052025468fa,0.326776951551
7a99e6d25c89c5aa6bb7b2290ae75ee8,0.436535259088
ea8327f3ec59d1c8b207b9a842dfe896,0.407317082087
4b77b915a6e975a16ef00e78751cfbce,0.432839651903
055a079e4467ee842d0ab72fa29aee0f,0.482602308194
0f6640b6c12c1abf94e4452b06deddce,0.391002138456
3d351ec097d4e12b9ea374bcb2288775,0.449741363525
ac861fe7726e174f34980e298f50f169,0.316736340523
3079103d38760c5c0a47cdf413e1c020,0.393582969904
866a0836024ee47e82e5cbbefdf26838,0.410945594311
232853da31cda9aea775e72603966408,0.480055818955
a03006b53c0eb8257e88391e94e9660d,0.463701426983
026456cbb2afe33c372501c5d279f7b4,0.438870817423
942394d8019bc20039975dfdb68dcd7c,0.442437032858
a73dfb2d70fa23192a71d337dcfdd1aa,0.483278810978
ee012eb79bb21a12987cecb1370b3aaa,0.484335382779
ed77b5e2eeb75f8af9959b491aeaf7c8,0.369201550881
549a01ec263d87509db2612774703c32,0.569230556488
06c1cbcbe2410314035a60fd5a724e0e,0.376537869374
b3e294e40451c78279e8dda2c1c2b63f,0.395108093818
b605b9db7e9f59ef7d75be8351fce83d,0.384286433458
fa4f28cf6585847a1aacda8d7cfb2ce2,0.414688577255
